Ciudad,Mes,Nmero Extranjeros,Homicidios,Hurtos,Delitos Sexuales,Departamento,Temperatura,Dolar,Pib Ponderado,Entradas Extranjeros Zona,Distancia a accseos,importancia accesos,Establecimientos de turismo,N Habitaciones,N Camas,Distancia al TOP,Proxy Pobreza,Gasto Promedio Diario,Gasto Alojamiento Diario,Gasto Transporte Diario,Gasto alimetos Diario,Otros Gastos Diario,Gasto Promedio Viaje,Gasto  Alojamiento Viaje,Gasto Transporte Viaje,Gasto alimetos Viaje,Otros Gastos Viaje,Inflacion,Nmero Vias,Eventos,Area Urbana,Area Rural,Area Agua
pitalito,1-2018,33.0,2,61,15,huila,18.055549999999997,2855.86,151.99923813319703,0.0,562.0569988230894,0.0,5.766905274455887,76.89207032608101,96.70013626877477,0.7013303338863129,0.0011410925876145566,66575.1101878614,8394.697673190576,13991.037003339206,15601.033377128186,22348.73579794675,338814.83103840624,51427.415414845666,83910.73419693533,86719.14232829226,129164.03920204364,3.679528,6,0.0,2.793593333333334,0.8182584313725498,0.005400000000000016
riohacha,1-2018,108.0,4,49,8,laguajira,26.7,2855.86,245.47301769568335,18243.0,632.5412695047203,0.2706872932929146,13.706847318996594,132.97313466172636,238.28183967353232,0.7888391892294312,0.001462323996638271,61443.613680154136,6755.0338294993235,15932.140992167102,12980.02741020794,25608.30250481695,407012.59441233135,44746.45273535666,105537.11826709216,85981.83459357277,169633.6021194605,3.679528,2,0.0,6.565825098039214,2.974837647058826,0.0
rionegro,1-2018,271.0,2,51,7,antioquia,15.5,2855.86,343.71702904955487,25339.0,309.633822973388,0.3146585849405409,10.781605513113178,140.07729333316092,206.1041798088147,0.6032505091242224,0.002537312435312109,66575.1101878614,11545.476424383663,12737.711510952407,19781.806679554367,23317.813822611646,300105.48218093003,51759.38314333914,56151.273164823884,86719.14232829226,88352.12209055308,3.679528,12,3.0,6.596441960784319,1.608628235294118,0.046204313725490165
bogota,1-2018,99767.0,83,7149,426,bogotadc,12.6,2855.86,23953.819811570153,167632.0,253.74340708992256,0.6999999999999998,301.0491709940594,2389.671820394822,3536.450186638433,0.6045517272693627,0.003006216644200421,90802.28709055876,18932.685095689158,14867.760371337396,23000.09451795841,33676.46146435453,459819.8073217726,95874.49545718152,75289.85301228121,116471.72306238185,170536.49903660888,3.679528,13,0.0,189.9753325490196,37.85034470588236,0.8084011764705882
piedecuesta,1-2018,28.0,1,66,13,santander,22.523648307230864,2855.86,258.7558350272516,237.0,317.09205858463844,0.001204245492828237,5.349013587901105,55.66317264909594,79.14868543347427,0.6490042231201576,0.0017195021034087012,66575.1101878614,12446.61737344282,14084.88279448244,18687.16363062344,23450.014914709092,316598.31302833144,59438.48048223794,63676.08772346662,86267.55845762543,96363.98920099532,3.679528,4,3.0,3.8625180392156864,0.9835874509803908,0.003874901960784327
pereira,1-2018,1735.0,10,184,40,risaralda,19.8,2855.86,907.9980592743489,823.0,340.61943636422694,0.0036656352339184996,43.12642205245271,356.9630786550915,623.6615530143451,0.6097692914843118,0.0015375360411991942,47503.54238921002,7706.312584573749,11730.464171743544,13551.965028355386,14323.000963391134,251974.29383429672,40876.795863135514,62222.209650904166,71884.0472589792,75973.86801541425,3.679528,14,0.0,21.23713764705881,4.054150196078433,0.025000000000000022
duitama,1-2018,52.0,1,60,3,boyaca,16.572061387843068,2855.86,211.7681906204598,0.0,300.03494582649347,0.0,6.853423659498297,94.4435211613818,153.2826706282912,0.6307515706016174,0.0016718101414735912,66575.1101878614,10539.48774013285,14292.817147147256,19188.580007237804,24674.59704796113,324875.62949204515,46563.78384345855,64488.99090791175,86719.14232829226,106266.1637587843,3.679528,5,2.0,4.598735686274509,1.123494117647057,0.009784705882352918
cartagena,1-2018,46031.0,21,448,37,bolivar,27.5,2855.86,2349.0742391899444,28646.0,535.8019369329899,0.23114524537566988,255.498977159589,1935.4235571097815,3458.388019590001,0.7186014584434873,0.002568551858385247,61669.721579961464,8150.613763773439,12384.036360119911,15474.235349716446,25435.907514450864,370761.74566473986,49001.93601391842,74453.50643071269,93031.95085066163,152922.07514450868,3.679528,5,5.0,23.73276352941176,28.18460862745097,4.3138084011
pasto,1-2018,873.0,7,479,40,narino,13.1,2855.86,461.0026373577466,11749.0,682.800028733627,0.3555277170712855,25.909284566396007,388.05422013476345,510.74721930724513,0.7525006047328805,0.001122111400824532,45016.0472061657,8619.595979122367,11706.918093027753,12411.639886578449,12110.968208092487,184121.3882466281,35255.24840518075,47882.791799632534,50765.19187145557,49535.40751445086,3.679528,9,1.0,14.10816980392156,3.004343921568625,0.040700000000000014
mosquera,1-2018,49.0,1,42,13,cundinamarca,12.2,2855.86,239.6785022758065,0.0,254.8924655358826,0.0,1.6715667462190993,26.9122246141269,33.431334924381986,0.6034334215330771,0.0018723127697075782,66575.1101878614,13380.474864021231,15533.102588628231,19482.065062625647,26653.1294014447,375255.5127484077,71218.97661409392,77041.05552354372,86887.33064829731,148540.85105735605,3.679528,6,1.0,3.0768384313725488,0.6599125490196074,0.0010999999999999899
sanandres,1-2018,9459.0,2,58,0,archipielagodesanandresprovidenciaysantacatalina,26.8,2855.86,134.622575444205,3221.0,1118.4291440195564,0.2119405626946616,95.86435289566522,714.0097356474871,1312.3470524566133,0.9693082696318024,0.0018711613633031025,52782.11946050096,997.4096269089504,2252.4040228217773,8881.306238185256,40491.60500963391,462369.55876685935,8737.270442683162,19730.98539793057,77799.94234404537,354705.0761078998,3.679528,1,0.0,0.6135407843137255,2.0404027450980395,2.3138084011
manizales,1-2018,689.0,8,209,20,caldas,9.0316545,2855.86,730.0596817455404,0.0,323.278476448554,0.0,31.09114147967521,196.49267101805162,355.3750902461801,0.6050576904965141,0.0016063131344870127,57332.58574181118,9459.379470326698,12336.733391354801,15846.497164461247,19461.98458574181,255203.97495183046,42106.443069785426,54914.37965380524,70537.3572778828,86630.94026974951,3.679528,9,2.0,16.43036862745098,2.951001176470589,0.011900000000000022
bucaramanga,1-2018,1240.0,8,381,53,santander,22.6,2855.86,1828.0619260652254,237.0,318.2432652837494,0.001204245492828237,38.529613500350194,523.116813229266,728.4687880022826,0.6500074065924457,0.002047010129518527,66205.69942196531,14425.430117919968,14493.705637752635,18871.79111531191,18152.861271676302,297053.3477842004,64724.37270442683,65030.7107629823,84674.41209829868,81448.70231213873,3.679528,9,3.0,28.36673098039216,7.00383137254902,0.033299999999999996
